num,choice,person,content,kind,choice1,choice2,choice3
47,n,herbGranpaC,주인장! 또 보네!,granpa,,,
48,n,herbGranpaC,굉장히 엄청난  소식을 들고 왔어! ,granpa,,,
49,y,herbGranpaC,서대륙으로  떠났던 약초꾼들이 돌아왔다네!,granpa,그게 뭐요?,오..?,none
50,n,herbGranpaC,응? 서대륙 말이네! 끝없는 화산과 험한 지형으로 유명한 곳!,granpa,,,
51,n,herbGranpaC,참…시골 촌뜨기 아니랄까봐. 소식이 느리구만.,granpa,,,
52,n,herbGranpaC,"아무튼 중요한 사실은, 그들이 은빛불꽃풀을 가져왔다는 거지.",granpa,,,
53,n,herbGranpaC,자세한 정보는 자네 약초노트에 적어두었다네!,granpa,,,
54,n,herbGranpaC,잘 해보게나.,granpa,,,
55,y,herbGranpaD,쿨럭쿨럭! 케엑! 퀙!,granpa,괜찮으세요?,어머..,혹시..코로나?!
56,n,herbGranpaD,크흠! 큼! 잘 지냈나?,granpa,,,
57,n,herbGranpaD,"아, 기침은 내가 와다닥고추를 먹어서 그렇네.",granpa,,,
58,n,herbGranpaD,"저기, 바다를 봐봐.",granpa,,,
59,n,herbGranpaD,엄청나게 큰 무역상선 보이지?,granpa,,,
60,n,herbGranpaD,대륙 남부 샤벡 사막으로 떠났었던 배야.,granpa,,,
61,n,herbGranpaD,그쪽 특산물인 와다닥고추를 잔뜩 싣고 왔네. ,granpa,,,
62,n,herbGranpaD,와다닥고추를 파는 약초꾼과 계약하면 덤으로 루비 정령가루도 준다고 하네.,granpa,,,
63,n,herbGranpaD,약초노트 잘 읽고! 다음에 보세나!,granpa,,,
64,n,rebel1,헉..헉…,rebel1,,,
65,n,rebel1,"제발, 제발!",rebel1,,,
66,n,rebel1,동료가 많이 다쳤습니다.,rebel1,,,
67,y,rebel1,치료물약 하나만 주시면 안되겠습니까?,rebel1,알겠습니다.,싫습니다.,none
68,n,rebel1-1,"감사합니다, 감사합니다…",rebel1,,,
69,n,reblel1-2,….,rebel1,,,
70,n,reblel1-2,………….,rebel1,,,
71,n,reblel1-2,앞으로 각오해야 할거야. ,rebel1,,,
72,n,herbGranpaE,안녕하신가.,granpa,,,
73,n,herbGranpaE,어제 밤에 몬스터 토벌대가 돌아왔다네.,granpa,,,
74,n,herbGranpaE,"내 손녀딸이 마녀라, 정부군이 차출해서 데려갔는데..",granpa,,,
75,n,herbGranpaE,아직 돌아오질 않고 있구먼.,granpa,,,
76,n,herbGranpaE,저 뒷동산에서 만나자고 약속한 후 헤어졌는데…,granpa,,,
77,n,herbGranpaE,아무래도 천천히 오는 모양이야. 기다려야겠어..,granpa,,,
78,n,herbGranpaE,"아, 이게 용건이 아니지.",granpa,,,
79,n,herbGranpaE,그 몬스터 토벌대가 몬스터 자생지에서 그림자엉겅퀴를 잔뜩 뜯어왔어.,granpa,,,
80,n,herbGranpaE,새로운 약물을 만들 수 있을거야.,granpa,,,
81,n,herbGranpaE,다음에 보세나. 나는 손녀딸을 기다리러 얼른 가야해. ,granpa,,,
82,n,rebel2-1,안녕!,rebel2,,,
83,n,rebel2-1,"너, 저번에 우리 동료들을 도와줬다며?",rebel2,,,
84,n,rebel2-1,"고마워서,인사하러 왔어.",rebel2,,,
85,n,rebel2-1,"눈치챘을지도 모르겠지만, 나는 정부군이 ""반역도"" 라고 하는 무리의 일원이야.",rebel2,,,
86,n,rebel2-1,"단지 마법을 다룰 줄 안다는 이유만으로 징집된다는게, 말이 안된다고 생각해.",rebel2,,,
87,y,rebel2-1,"여러 범죄자들, 도망자들, 난민들이 엉망진창으로 모여 만든 집단이기도 하지만.",rebel2,음…,하하…,none
88,n,rebel2-1,우리도 조직 내 기강을 잡으려고 노력하고 있어.,rebel2,,,
89,y,rebel2-1,"혹시, 우리를 도울 마음이 있어?",rebel2,네,아뇨,none
90,n,rebel2-1-1,좋아!,rebel2,,,
91,n,rebel2-1-1,"그럼 다음에 봐,",rebel2,,,
92,n,rebel2-1-2,하!,rebel2,,,
93,n,rebel2-1-2,다시 한번 잘 생각해 봐.,rebel2,,,
94,n,rebel2-2,안녕하냐?,rebel2,,,
95,n,rebel2-2,"너, 저번에 우리 동료들을 외면했지?",rebel2,,,
96,n,rebel2-2,죽고 싶은가 보네.,rebel2,,,
97,n,rebel2-2,마지막 기회를 주지.,rebel2,,,
98,n,rebel2-2,"우리는 정부군이 ""반역도"" 라고 하는 무리의 일원이다.",rebel2,,,
99,y,rebel2-2,"우리에게 물약을 납품해. 물론, 무보수로.",rebel2,넵.,싫어요!,none
100,n,rebel2-2-1,똑똑하네. 마지막 기회였어.,rebel2,,,
101,n,rebel2-2-2,..정부군에 설설 기는 비겁자 같으니.,rebel2,,,
102,n,rebel2-2-2,가족들은 잘 계시지? 응?,rebel2,,,
103,n,herbGranpaF,음.,granpa,,,
104,y,herbGranpaF,오랜만이구먼.,granpa,손녀딸은요?,괜찮으세요?,none
105,n,herbGranpaF,손녀딸은 아직 오지 않았어.,granpa,,,
106,n,herbGranpaF,길이 멀어서 오래 걸리는 모양이지..그렇지? ,granpa,,,
107,n,herbGranpaF,"아, 이번에도 작은 선물을 가져왔다네.",granpa,,,
108,n,herbGranpaF,토벌대장이 뜬금없이 나에게 이 비싼 걸 주더라고.,granpa,,,
109,n,herbGranpaF,흑요석 정령보석가루야.,granpa,,,
110,n,herbGranpaF,나는 필요 없으니 자네가 가져.,granpa,,,
111,n,herbGranpaF,그럼 이만.,granpa,,,
112,n,herbGranpaG,흠.,granpa,,,
113,n,herbGranpaG,이번에 보름달이 떴어.,granpa,,,
114,n,herbGranpaG,그 덕분에 불빛버섯이 채집되었다고 하네.,granpa,,,
115,n,herbGranpaG,불빛버섯은 보름달이 뜬 밤에만 볼 수 있거든.,granpa,,,
116,n,herbGranpaG,신기하지?,granpa,,,
117,n,herbGranpaG,잘 해 보게나.,granpa,,,
118,n,goArmy2,안녕하십니까.,army,,,
119,n,goArmy2,뭐 하나 질문하겠습니다.,army,,,
120,y,goArmy2,혹시 긴 갈색 머리의 '새이' 라는 마법사를 본 적 있습니까?,army,그런 마녀는 본 적 없어요.,모르겠어요.,"네, 본적 있어요!"
121,n,goArmy2-1,나는 여자라고 말한 적 없습니다만.,army,,,
122,n,goArmy2-1,거짓말을 하고 있군.,army,,,
123,n,goArmy2-1,잘 알겠다.,army,,,
124,n,goArmy2-2,흠!,army,,,
125,n,goArmy2-2,협조 감사드립니다. 많은 도움이 되었습니다.,army,,,
126,n,goArmy2-3,음…알겠습니다.,army,,,
127,n,herbGranpaH,안녕.,granpa,,,
128,n,herbGranpaH,새로운 정령보석가루를 가져왔네.,granpa,,,
129,n,herbGranpaH,옐로우 다이아몬드 정령보석 가루야.,granpa,,,
130,n,herbGranpaH,빛 속성을 가진 약초와 함께 쓰면 그 효과가 커지지.,granpa,,,
131,n,herbGranpaH,힘내게나.,granpa,,,
132,n,rebel3,안녕. 오랜만이네.,rebel2,,,
133,n,rebel3,"다름이 아니라, 도움이 필요해서.",rebel2,,,
134,n,rebel3,"폭탄물약, 좀 만들어 줄 수 있어?",rebel2,,,
135,y,rebel3,너라면 만들 수 있을 것 같은데.,rebel2,싫어요.,모르겠어요.,좋아요!
136,n,rebel3-2,실망이네.,rebel2,,,
137,n,herbGranpaI,오도독!,granpa,,,
138,y,herbGranpaI,와삭와삭.,granpa,뭘 먹고계세요?,뭐야?,none
139,n,herbGranpaI,아. 동굴연근이라네.,granpa,,,
140,n,herbGranpaI,이건 먹으면 가운데 달콤한 살얼음이 나와.,granpa,,,
141,n,herbGranpaI,여름에 먹는 별미지.,granpa,,,
142,n,herbGranpaI,슬슬 동굴연근 철이야! 약초꾼들이 많이 캐 올 거야.,granpa,,,
143,n,herbGranpaI,잘 해 보게나!,granpa,,,
144,n,herbGranpaI,"아, 그리고 이번이 자네와의 마지막 만남일세.",granpa,,,
145,n,herbGranpaI,손녀딸을 찾으러 떠나려고 하네.,granpa,,,
146,n,herbGranpaI,손녀딸이 죽었을 거라는 건 나도 안다네. 외면했을 뿐이지.,granpa,,,
147,n,herbGranpaI,"하지만, 그 애하고 나는 약속했다네. 저 동산에서 만나기로 했단 말일세.",granpa,,,
148,n,herbGranpaI,시체라도 찾아 저 뒤에 묻어주고 배웅해야지.,granpa,,,
149,n,herbGranpaI,그렇게 약속했으니 말일세. 나는 약속을 항상 지키는 할애비였다고.,granpa,,,
150,n,herbGranpaI,그럼 잘 지내게나! ,granpa,,,
151,n,boy,"속보요, 속보!",boy,,,
152,n,boy,정부군의 반역도 체포작전이 대성공을 거뒀답니다!,boy,,,
153,n,boy1,"속보요, 속보!",boy,,,
154,n,boy1,반란군의 테러로 정부군이 큰 피해를 입었답니다!,boy,,,
155,n,moneyMan,야.,moneyman,,,
156,n,moneyMan,오랜만이네?,moneyman,,,
157,n,moneyMan,아주 속 편하게 잘 살더구만.,moneyman,,,
158,n,moneyMan,"원금, 갚아야지?",moneyman,,,
159,n,moneyMan,못갚으면 어쩌냐고?,moneyman,,,
160,n,moneyMan,네가 더 잘 알텐데.,moneyman,,,
161,n,goArmy3,안녕하십니까.,army,,,
162,n,goArmy3,부탁드릴 것이 있어 방문했습니다.,army,,,
163,n,goArmy3,즉사물약을 지금 바로 납품해주실 수 있으십니까.,army,,,
164,n,goArmy3,반란군 체포 작전에 중요한 열쇠가 될 것 같습니다.,army,,,
165,y,goArmy3,가능하십니까?,army,네,아니오,none
166,n,goArmy3-1,감사합니다.,army,,,
167,n,goArmy3-2,당신.. 간이 배 밖으로 나왔군.,army,,,
